objectid,filename,title,description,type,format,material,set size,roll surfaces,primary color association(s),acquisition method,notable feature(s)
coll001,20211028_192901.jpg,Honey Yellow,translucent yellow dice set with black inked numbers,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Yellow,,set from partner's collection
coll021,blushy blush (4).jpg,Dom Pérignon,pink translucent dice set with gold glitter inclusion and inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Blush Pink,Etsy (DndDice),
coll022,dungeon master (3).jpg,Game Master,blue and black dice set with silver inking,Image;StillImage,image/jpeg,Resin,Large,all rolling surfaces/trays/towers,"Blue, Black",Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-gm),"Open book on 20, Critical Role font"
coll023,first set ever (2).jpg,Gemini Black and Green,green and black dice set with gold inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Green, Black",,
coll024,green marble (3).jpg,Greenery Marbled,green and white dice set with gold inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Green, White",,
coll025,grog (2).jpg,Grog Strongjaw,white dice set with rusty lining and black inking,Image;StillImage,image/jpeg,Resin,Large,all rolling surfaces/trays/towers,"White, Rust",Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-grog),"beer stein on 20, Critical Role font"
coll026,red dwarf galaxy (2).jpg,Heaven's Eye Galaxy,"red, blue, and purple dice set with gold inking",Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Blue, Purple, Gold",,
coll027,keyleth (2).jpg,Keyleth,green (translucent) and brown (opaque) dice set with gold inking,Image;StillImage,image/jpeg,Resin,Large,all rolling surfaces/trays/towers,"Brown, Green",Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-keyleth),"antlers on 20, Critical Role font"
coll028,labradorite.jpg,Labradorite Astrology Style,green gemstone dice with gold inking and gold astrological lining details,Image;StillImage,image/jpeg,Gemstone - labradorite,Standard,soft felt trays only,"Green, Gold",Gift (https://urwizards.com/products/urwizards-dnd-labradorite-engraved-dice-set-astrology-style-1?_pos=11&_sid=ddfe6d81f&_ss=r),"sharp edges, astral detailing and theme"
coll029,blue stone resin (2).jpg,Marble Oxi-Copper & White,blue and grey dice set with white inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Blue,Etsy (https://www.etsy.com/listing/969816493/marble-oxi-copper-white-green-and-brown?ref=yr_purchases),
coll030,blue swirlies (2).jpg,Marbled Sky,blue swirl dice set with gold inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Blue,,
coll031,midnight rose (2).jpg,Midnight Rose,purple dice set with copper pearl swirl inclusion and white inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Purple,Cozy Gamer Shop (https://cozygamer.com/products/midnight-rose-dnd-dice-set-purple-and-copper-pearly-marbled-dice?_pos=3&_psq=midn&_ss=e&_v=1.0),
coll032,pain in my ass (2).jpg,Moonweaver’s Reign,"clear dice set with gold foil and purple swirl inclusions, and gold inking",Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Blush Pink, Purple",Heartbeat Dice (https://heartbeatdice.ecwid.com/Moonweaver%E2%80%99s-Reign-Dice-Set-p277507865),11 dice in set - 2 d20s and 4 d6s
coll033,Mount Doom.jpg,Mount Doom,steel dice set with red lava crack detailing and white inking,Image;StillImage,image/jpeg,Metal,Large,all except wood towers,"Silver, Red",Etsy (Viridian Gaming),sharp edges
coll034,tripping blue acid (2).jpg,Mysterious Clouds,blue and silver dice set with white inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Blue, Silver",Etsy (https://www.etsy.com/listing/1024901048/mystery-dice-dice-dice-set-dd?ref=yr_purchases),
coll035,green sharp edge (1).jpg,Necromancer,green translucent dice set with dark green swirl inclusion and gold inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Green, Black ",Etsy (https://www.etsy.com/listing/854689982/necromancer-sharp-dnd-dice-clear-hand?ref=yr_purchases),"sharp edges, hamsa hand on 20"
coll036,onyxstone (3).jpg,Onyxstone,silver dice set with glitter inclusion and gold inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Silver/Grey,Cozy Gamer Shop (https://cozygamer.com/products/onxystone-dnd-dice-set-cloudy-silver-shimmering-resin-dice?_pos=1&_psq=onyx&_ss=e&_v=1.0),
coll037,percy (2).jpg,Percival Fredrickstein von Musel Klossowki de Rollo III,light purple (translucent) dice set with dark blue swirl inclusion and silver inking,Image;StillImage,image/jpeg,Resin,Large,all rolling surfaces/trays/towers,"Purple, Blue/Black",Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-percival),"Whitestone Sun on 20, Critical Role font"
coll038,pike (4).jpg,Pike Trickfoot,white pearl dice set with gold inking,Image;StillImage,image/jpeg,Resin,Large,all rolling surfaces/trays/towers,Pearl White,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-pike),"shining mace on 20, Critical Role font"
coll039,pure pink.jpg,Pretty in Pink,pink and light pink dice set with white inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Pink,,
coll040,bluegreen galaxy (1).jpg,Purple and Green Turquoise Galaxy,"blue, green, and deep purple glitter dic set with gold inking",Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Blue, Green, Purple",Etsy (https://www.etsy.com/listing/802013108/purple-and-green-turquoise-galaxy-dnd?ref=yr_purchases),
coll041,rainbow resin (3).jpg,Rainbow,rainbow stripe dice set with white inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Rainbow,,
coll042,hot rod.jpg,Red Pearl,red pearl dice set with yellow inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Red,Etsy (https://www.etsy.com/listing/712359642/bad-dice-dice-jail-with-polyhedral-dice?ref=yr_purchases&variation0=1683600720),
coll043,metal rain.jpg,Royal Blue/Silver,blue dice set with silver inking and lining (metal),Image;StillImage,image/jpeg,Metal,Standard,all except wood towers,"Blue, Silver",,
coll044,scanlan (1).jpg,Scanlan Shorthalt,dark pink glitter dice set with pink inking,Image;StillImage,image/jpeg,Resin,Large,all rolling surfaces/trays/towers,Pink,Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-scanlan),"music notes on 20, Critical Role font"
coll045,simply lavendar (2).jpg,Sea Glass Amethyst,light lavendar (semi-translucent) dice set with dark purple swirl inclusion and gold inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Purple,Etsy (https://www.etsy.com/listing/771548822/sea-glass-amethyst-dice-set-for-dungeons?ref=yr_purchases),
coll046,green seaglass (1).jpg,Sea Glass Emerald,light green (semi-translucent) dice set with green swirl inclusion and gold inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Green,Etsy (https://www.etsy.com/listing/825967682/sea-glass-emerald-dice-set-for-dungeons?ref=yr_purchases),
coll047,spirited away.jpg,Soot Sprite,"clear translucent dice set with pink candy stars and clay models of soot sprites from Studio Ghibli's Spirited Away film as inclusion, and gold inking",Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,Clear,Heartbeat Dice (https://heartbeatdice.ecwid.com/Soot-Sprite-Dice-p238692001),inclusion of candy stars and Dust Sprites from Spirited Away
coll048,subtle galaxy (2).jpg,Starry Sky,almost black dice set with silver glitter inclusion and gold inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Black, Gold",Etsy (https://www.etsy.com/listing/732130164/starry-sky-dnd-dice-set-for-dungeons-and?ref=yr_purchases),
coll049,cool galaxy (2).jpg,Tumultuous Galaxy,"red, blue, and dark purple glitter dice set with gold inking",Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Blue, Red, Purple",,
coll050,stalwart galaxy (2).jpg,Twilight,"light purple dice set with pink and blue swirl inclusion, and gold inking",Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Pink, Blue, Purple",Etsy (https://www.etsy.com/listing/778408983/twilight-polyhedral-dice-set-translucent?ref=yr_purchases),
coll051,vaxildan (1).jpg,Vax'ildan,black and silver swirl dice set with black inking,Image;StillImage,image/jpeg,Resin,Large,all rolling surfaces/trays/towers,"Black, Red",Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-vaxildan),"dagger and feather on 20, Critical Role font"
coll052,vexahlia (5).jpg,Vex'ahlia de Rollo,blue and white swirl dice set with gold inking,Image;StillImage,image/jpeg,Resin,Large,all rolling surfaces/trays/towers,"Blue, White, Gold",Critical Role Shop (https://shop.critrole.com/collections/dice/products/vox-machina-dice-set-vexahlia),"2 arrows crossed over a bear paw on 20, Critical Role font"
coll053,purple stone resin (3).jpg,Vortex Purple & Gold,"purple dice set with white and black swirl inclusion, and gold inking",Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Purple, Gold",Etsy (https://www.etsy.com/listing/955865470/vortex-purple-gold-chessex-dice-set-7?ref=yr_purchases),
coll054,whirlpool (1).jpg,Whirlpool,blue and white marble dice set with gold inking,Image;StillImage,image/jpeg,Resin,Standard,all rolling surfaces/trays/towers,"Blue, White",Cozy Gamer Shop (https://cozygamer.com/products/11-piece-pearly-gates-dice-set?_pos=1&_psq=whirp&_ss=e&_v=1.0),11 dice in set - 2 d20s and 4 d6s
